"FEATURE_ID","RT","PEPMASS","CCS","SIGMA_SCORE","NAME_METABOSCAPE","MOLECULAR_FORMULA","ADDUCT","KEGG","CAS","MaxIntensity","Condition_QC_MeanIntensity","Condition_BLANK_MeanIntensity","Condition_Control_MeanIntensity","Condition_Treatment_MeanIntensity","QC_1_07-Aug-24_10149","QC_1_07-Aug-24_10161","QC_1_07-Aug-24_10173","QC_1_07-Aug-24_10185","QC_1_07-Aug-24_10192","QC_1_08-Aug-24_10204","QC_1_08-Aug-24_10216","B9_PBS_1_08-Aug-24_10218","B9_PBS_2_08-Aug-24_10219","B9_PBS_3_08-Aug-24_10220","B9_PBS_4_08-Aug-24_10221","B9_DMSO_1_08-Aug-24_10223","B9_DMSO_2_08-Aug-24_10224","B9_DMSO_3_08-Aug-24_10225","B9_DMSO_4_08-Aug-24_10226","QC_1_08-Aug-24_10228","B9_Mena_1_08-Aug-24_10230","B9_Mena_2_08-Aug-24_10231","B9_Mena_3_08-Aug-24_10232","B9_Mena_4_08-Aug-24_10233","QC_1_08-Aug-24_10240","QC_1_08-Aug-24_10252","QC_1_08-Aug-24_10266","QC_1_08-Aug-24_10278","QC_1_09-Aug-24_10290","QC_1_09-Aug-24_10302","QC_1_09-Aug-24_10314","QC_1_09-Aug-24_10328","QC_1_09-Aug-24_10335","QC_1_09-Aug-24_10347","QC_1_09-Aug-24_10359","B9_PBS_1_09-Aug-24_10361","B9_PBS_2_09-Aug-24_10362","B9_PBS_3_09-Aug-24_10363","B9_PBS_4_09-Aug-24_10364","B9_DMSO_1_10-Aug-24_10366","B9_DMSO_2_10-Aug-24_10367","B9_DMSO_3_10-Aug-24_10368","B9_DMSO_4_10-Aug-24_10369","QC_1_10-Aug-24_10371","B9_Mena_1_10-Aug-24_10373","B9_Mena_2_10-Aug-24_10374","B9_Mena_3_10-Aug-24_10375","B9_Mena_4_10-Aug-24_10376","QC_1_10-Aug-24_10383","QC_1_10-Aug-24_10395","QC_1_10-Aug-24_10407","QC_1_10-Aug-24_10419","QC_1_10-Aug-24_10431","QC_1_10-Aug-24_10443","QC_1_10-Aug-24_10455","QC_1_11-Aug-24_10467","QC_1_11-Aug-24_10474","QC_1_11-Aug-24_10486","QC_1_11-Aug-24_10498","B9_PBS_1_11-Aug-24_10500","B9_PBS_2_11-Aug-24_10501","B9_PBS_3_11-Aug-24_10502","B9_PBS_4_11-Aug-24_10503","B9_DMSO_1_11-Aug-24_10505","B9_DMSO_2_11-Aug-24_10506","B9_DMSO_3_11-Aug-24_10507","B9_DMSO_4_11-Aug-24_10508","QC_1_11-Aug-24_10510","B9_Mena_1_11-Aug-24_10512","B9_Mena_2_11-Aug-24_10513","B9_Mena_3_11-Aug-24_10514","B9_Mena_4_11-Aug-24_10515","QC_1_12-Aug-24_10526","QC_1_12-Aug-24_10538","QC_1_12-Aug-24_10550","QC_1_12-Aug-24_10562","QC_1_13-Aug-24_10574"
1,13.58,186.01500,132.99799,,,,ION=[M+H]+,,,1208.21,668.76,876.01,742.84,746.40,745.16,0.00,637.87,703.58,905.00,830.96,716.17,797.28,812.57,837.73,754.88,797.21,695.22,692.44,627.90,939.29,645.46,0.00,530.57,909.04,731.11,753.82,619.25,766.53,807.81,781.05,727.23,594.33,907.67,655.87,906.32,1047.76,932.15,597.73,800.51,1020.91,732.67,0.00,911.10,0.00,853.09,625.13,892.19,934.70,868.82,0.00,825.19,843.09,552.11,697.25,599.81,684.62,903.00,882.15,1208.21,1010.63,949.64,1095.27,875.94,837.87,1138.29,683.40,777.06,732.85,768.08,747.91,967.76,1082.89,549.47,0.00,935.64,0.00,733.03
2,24.25,837.83232,151.7329,,,,ION=[M+H]+,,,3592.14,545.53,2901.15,310.88,249.07,1255.79,0.00,0.00,1425.90,0.00,0.00,1354.88,2421.14,2659.50,2526.58,3134.90,1594.29,0.00,0.00,861.21,1153.33,1351.24,0.00,0.00,0.00,0.00,1181.87,0.00,1870.37,0.00,1149.81,0.00,881.74,1631.57,1354.90,0.00,3065.78,3123.51,2839.37,2184.64,1275.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1452.53,1251.74,0.00,0.00,0.00,0.00,3592.14,2768.76,3493.28,3004.20,0.00,0.00,0.00,0.00,1793.55,1637.64,0.00,0.00,0.00,1283.14,0.00,0.00,1143.53,0.00
3,24.64,769.84306,222.55603,,,,ION=[M+H]+,,,7780.58,4229.69,6659.49,4980.08,5143.91,3593.52,4143.56,4838.96,4123.94,4420.16,4596.96,3499.66,6345.24,6801.84,6457.37,5364.90,3840.29,4078.84,6262.48,3965.10,3976.38,4144.06,4392.31,3780.63,4492.02,4026.83,4589.59,3479.90,5107.31,4707.97,3480.85,4516.78,4432.88,4034.40,3793.81,4551.97,6643.01,7780.58,5389.30,6319.25,4652.68,5329.26,5668.28,4300.67,4045.18,5795.05,5778.30,4159.02,5354.09,4493.43,4539.32,3926.31,4857.58,4347.60,4395.93,4065.10,3754.12,4729.76,4138.80,4490.41,6798.03,7474.97,7112.33,7427.07,5123.90,6403.89,5254.00,4881.60,4378.63,5496.21,6974.99,5284.48,6075.83,3344.03,4229.45,3905.18,3904.57,5037.58
4,24.67,1403.71268,340.80087,,,,ION=[M+H+H]2+,,,12832.73,440.11,10027.13,2442.33,2984.87,0.00,0.00,0.00,2938.16,0.00,0.00,2259.45,11307.93,9949.70,10099.89,9078.61,3500.58,0.00,3910.75,0.00,2556.91,3956.88,4301.10,4117.12,0.00,0.00,0.00,0.00,0.00,0.00,2851.60,0.00,0.00,3092.71,0.00,0.00,10537.92,9328.63,10169.80,8550.81,4235.65,4101.73,4625.29,0.00,0.00,6204.28,0.00,3948.79,0.00,0.00,0.00,0.00,0.00,0.00,2585.18,0.00,0.00,0.00,0.00,0.00,12832.73,9971.89,9718.61,8779.04,0.00,4257.21,4676.74,0.00,0.00,5644.83,4145.51,3499.96,0.00,0.00,0.00,0.00,0.00,0.00
5,25.00,1539.68908,354.1943,,,,ION=[M+H+H]2+,,,12586.95,70.11,10799.25,0.00,389.95,0.00,0.00,0.00,0.00,2594.00,0.00,0.00,10981.03,10042.95,9096.35,11432.94,0.00,0.00,0.00,0.00,0.00,0.00,4679.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10374.25,11989.18,10316.20,9903.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11268.31,10848.82,12586.95,10750.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,25.88,244.22612,157.11491,12.862,"N1-Acetylspermine","C12H28N4O",ION=[M+H]+,"C02567","25593-72-0",32802.17,25232.41,0.00,17319.44,16268.32,25572.06,19272.86,23847.01,27260.86,26359.06,24309.88,28272.86,0.00,0.00,0.00,0.00,14217.15,12030.97,30045.45,21369.63,20644.78,20034.04,11471.61,14786.02,28759.77,22861.72,23007.35,27293.68,21230.75,31740.72,25610.96,27148.91,23107.58,27869.42,24310.28,32802.17,0.00,0.00,0.00,0.00,14761.27,12122.73,22827.83,22460.40,23736.61,15291.12,6727.00,14075.14,20297.52,22809.97,23640.17,31484.69,26155.57,27811.74,20044.86,24962.78,21230.94,26773.09,28220.49,24402.01,0.00,0.00,0.00,0.00,7576.57,10194.92,22883.53,17342.88,25802.46,14060.19,9736.45,17350.26,22630.67,23650.73,30551.05,21192.36,26264.17,22342.41
7,26.49,234.05865,149.89743,,,,ION=[M+H]+,,,4079.23,0.00,0.00,0.00,2764.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2403.89,2329.42,3652.48,3722.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1790.83,1963.21,2534.08,1993.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2962.16,4079.23,3069.33,2673.07,0.00,0.00,0.00,0.00,0.00
8,26.73,467.80800,182.15092,,,,ION=[M+H]+,,,6428.16,1398.87,0.00,1019.11,2669.73,0.00,3644.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2825.17,0.00,0.00,4527.58,0.00,1983.96,1101.14,0.00,3548.96,0.00,0.00,3820.80,0.00,2625.51,4131.21,4380.99,0.00,0.00,0.00,0.00,0.00,0.00,2975.97,0.00,6428.16,0.00,2885.47,5441.84,2225.02,2533.90,4908.36,0.00,4051.45,0.00,3458.50,0.00,0.00,3948.75,0.00,0.00,4651.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3263.11,2410.24,0.00,4154.37,2750.35,0.00,0.00,0.00,3307.83,4039.96
9,26.86,304.23764,181.19524,,,,ION=[M+H]+,,,1561.59,19.81,698.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,602.86,0.00,1339.67,365.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,733.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1068.49,0.00,1561.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,576.36,870.69,1207.00,786.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,27.75,505.70833,192.33542,,,,ION=[M+H]+,,,12134.30,0.00,7161.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7098.04,8309.64,7843.47,6984.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7696.44,9729.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6038.88,12134.30,10636.96,9470.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,27.79,573.69581,201.4158,,,,ION=[M+H]+,,,13203.14,0.00,9997.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8441.82,8519.09,9206.95,9575.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11693.67,11999.02,13203.14,12221.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12203.48,0.00,12311.73,10596.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,27.85,583.63630,202.71646,,,,ION=[M+H]+,,,7779.03,5373.68,0.00,5638.99,4122.14,6388.82,5454.92,0.00,4779.87,6646.95,5248.64,0.00,0.00,0.00,0.00,0.00,4483.01,6456.49,4877.16,4661.95,6298.39,4060.70,5581.99,4943.50,4805.00,4117.11,6396.87,5899.90,4990.14,6275.17,0.00,5389.74,7590.28,4506.93,7779.03,5660.27,0.00,0.00,0.00,0.00,4591.87,4595.01,6753.85,7659.33,4535.40,3888.17,5154.40,0.00,3677.45,5840.53,7054.81,6087.25,5956.68,6273.53,5351.48,6048.57,6094.80,5871.51,5868.21,6008.03,0.00,0.00,0.00,0.00,6621.44,5394.93,5209.63,6363.27,5583.54,4134.16,6139.00,7081.30,0.00,7298.32,4751.27,6121.08,4678.76,5979.46
