Sample,Group,Replicate,Batch,Factor
B9_DMSO_1_08-Aug-24_10223,control,1,1,1
B9_DMSO_1_10-Aug-24_10366,control,1,1,1
B9_DMSO_1_11-Aug-24_10505,control,1,1,1
B9_DMSO_2_08-Aug-24_10224,control,2,1,1
B9_DMSO_2_10-Aug-24_10367,control,2,1,1
B9_DMSO_2_11-Aug-24_10506,control,2,1,1
B9_DMSO_3_08-Aug-24_10225,control,3,1,1
B9_DMSO_3_10-Aug-24_10368,control,3,1,1
B9_DMSO_3_11-Aug-24_10507,control,3,1,1
B9_DMSO_4_08-Aug-24_10226,control,4,1,1
B9_DMSO_4_10-Aug-24_10369,control,4,1,1
B9_DMSO_4_11-Aug-24_10508,control,4,1,1
B9_Mena_1_08-Aug-24_10230,menadione,1,1,1
B9_Mena_1_10-Aug-24_10373,menadione,1,1,1
B9_Mena_1_11-Aug-24_10512,menadione,1,1,1
B9_Mena_2_08-Aug-24_10231,menadione,2,1,1
B9_Mena_2_10-Aug-24_10374,menadione,2,1,1
B9_Mena_2_11-Aug-24_10513,menadione,2,1,1
B9_Mena_3_08-Aug-24_10232,menadione,3,1,1
B9_Mena_3_10-Aug-24_10375,menadione,3,1,1
B9_Mena_3_11-Aug-24_10514,menadione,3,1,1
B9_Mena_4_08-Aug-24_10233,menadione,4,1,1
B9_Mena_4_10-Aug-24_10376,menadione,4,1,1
B9_Mena_4_11-Aug-24_10515,menadione,4,1,1
B9_PBS_1_08-Aug-24_10218,blank,1,1,1
B9_PBS_1_09-Aug-24_10361,blank,1,1,1
B9_PBS_1_11-Aug-24_10500,blank,1,1,1
B9_PBS_2_08-Aug-24_10219,blank,2,1,1
B9_PBS_2_09-Aug-24_10362,blank,2,1,1
B9_PBS_2_11-Aug-24_10501,blank,2,1,1
B9_PBS_3_08-Aug-24_10220,blank,3,1,1
B9_PBS_3_09-Aug-24_10363,blank,3,1,1
B9_PBS_3_11-Aug-24_10502,blank,3,1,1
B9_PBS_4_08-Aug-24_10221,blank,4,1,1
B9_PBS_4_09-Aug-24_10364,blank,4,1,1
B9_PBS_4_11-Aug-24_10503,blank,4,1,1
QC_1_07-Aug-24_10149,QC,1,1,1
QC_1_07-Aug-24_10161,QC,1,1,1
QC_1_07-Aug-24_10173,QC,1,1,1
QC_1_07-Aug-24_10185,QC,1,1,1
QC_1_07-Aug-24_10192,QC,1,1,1
QC_1_08-Aug-24_10204,QC,1,1,1
QC_1_08-Aug-24_10216,QC,1,1,1
QC_1_08-Aug-24_10228,QC,1,1,1
QC_1_08-Aug-24_10240,QC,1,1,1
QC_1_08-Aug-24_10252,QC,1,1,1
QC_1_08-Aug-24_10266,QC,1,1,1
QC_1_08-Aug-24_10278,QC,1,1,1
QC_1_09-Aug-24_10290,QC,1,1,1
QC_1_09-Aug-24_10302,QC,1,1,1
QC_1_09-Aug-24_10314,QC,1,1,1
QC_1_09-Aug-24_10328,QC,1,1,1
QC_1_09-Aug-24_10335,QC,1,1,1
QC_1_09-Aug-24_10347,QC,1,1,1
QC_1_09-Aug-24_10359,QC,1,1,1
QC_1_10-Aug-24_10371,QC,1,1,1
QC_1_10-Aug-24_10383,QC,1,1,1
QC_1_10-Aug-24_10395,QC,1,1,1
QC_1_10-Aug-24_10407,QC,1,1,1
QC_1_10-Aug-24_10419,QC,1,1,1
QC_1_10-Aug-24_10431,QC,1,1,1
QC_1_10-Aug-24_10443,QC,1,1,1
QC_1_10-Aug-24_10455,QC,1,1,1
QC_1_11-Aug-24_10467,QC,1,1,1
QC_1_11-Aug-24_10474,QC,1,1,1
QC_1_11-Aug-24_10486,QC,1,1,1
QC_1_11-Aug-24_10498,QC,1,1,1
QC_1_11-Aug-24_10510,QC,1,1,1
QC_1_12-Aug-24_10526,QC,1,1,1
QC_1_12-Aug-24_10538,QC,1,1,1
QC_1_12-Aug-24_10550,QC,1,1,1
QC_1_12-Aug-24_10562,QC,1,1,1
QC_1_13-Aug-24_10574,QC,1,1,1
