"FEATURE_ID","RT","PEPMASS","CCS","SIGMA_SCORE","NAME_METABOSCAPE","MOLECULAR_FORMULA","ADDUCT","KEGG","CAS","MaxIntensity","Condition_QC_MeanIntensity","Condition_BLANK_MeanIntensity","Condition_Control_MeanIntensity","Condition_Treatment_MeanIntensity","QC_1_07-Aug-24_10149","QC_1_07-Aug-24_10161","QC_1_07-Aug-24_10173","QC_1_07-Aug-24_10185","QC_1_07-Aug-24_10192","QC_1_08-Aug-24_10204","QC_1_08-Aug-24_10216","B9_PBS_1_08-Aug-24_10218","B9_PBS_2_08-Aug-24_10219","B9_PBS_3_08-Aug-24_10220","B9_PBS_4_08-Aug-24_10221","B9_DMSO_1_08-Aug-24_10223","B9_DMSO_2_08-Aug-24_10224","B9_DMSO_3_08-Aug-24_10225","B9_DMSO_4_08-Aug-24_10226","QC_1_08-Aug-24_10228","B9_Comp_1_08-Aug-24_10235","B9_Comp_2_08-Aug-24_10236","B9_Comp_3_08-Aug-24_10237","B9_Comp_4_08-Aug-24_10238","QC_1_08-Aug-24_10240","QC_1_08-Aug-24_10252","QC_1_08-Aug-24_10266","QC_1_08-Aug-24_10278","QC_1_09-Aug-24_10290","QC_1_09-Aug-24_10302","QC_1_09-Aug-24_10314","QC_1_09-Aug-24_10328","QC_1_09-Aug-24_10335","QC_1_09-Aug-24_10347","QC_1_09-Aug-24_10359","B9_PBS_1_09-Aug-24_10361","B9_PBS_2_09-Aug-24_10362","B9_PBS_3_09-Aug-24_10363","B9_PBS_4_09-Aug-24_10364","B9_DMSO_1_10-Aug-24_10366","B9_DMSO_2_10-Aug-24_10367","B9_DMSO_3_10-Aug-24_10368","B9_DMSO_4_10-Aug-24_10369","QC_1_10-Aug-24_10371","B9_Comp_1_10-Aug-24_10378","B9_Comp_2_10-Aug-24_10379","B9_Comp_3_10-Aug-24_10380","B9_Comp_4_10-Aug-24_10381","QC_1_10-Aug-24_10383","QC_1_10-Aug-24_10395","QC_1_10-Aug-24_10407","QC_1_10-Aug-24_10419","QC_1_10-Aug-24_10431","QC_1_10-Aug-24_10443","QC_1_10-Aug-24_10455","QC_1_11-Aug-24_10467","QC_1_11-Aug-24_10474","QC_1_11-Aug-24_10486","QC_1_11-Aug-24_10498","B9_PBS_1_11-Aug-24_10500","B9_PBS_2_11-Aug-24_10501","B9_PBS_3_11-Aug-24_10502","B9_PBS_4_11-Aug-24_10503","B9_DMSO_1_11-Aug-24_10505","B9_DMSO_2_11-Aug-24_10506","B9_DMSO_3_11-Aug-24_10507","B9_DMSO_4_11-Aug-24_10508","QC_1_11-Aug-24_10510","B9_Comp_1_11-Aug-24_10517","B9_Comp_2_12-Aug-24_10522","B9_Comp_3_12-Aug-24_10523","B9_Comp_4_12-Aug-24_10524","QC_1_12-Aug-24_10526","QC_1_12-Aug-24_10538","QC_1_12-Aug-24_10550","QC_1_12-Aug-24_10562","QC_1_13-Aug-24_10574"
1,13.60,186.01500,132.99799,,,,ION=[M+H]+,,,1208.21,668.76,876.01,742.84,634.40,745.16,0.00,637.87,703.58,905.00,830.96,716.17,797.28,812.57,837.73,754.88,797.21,695.22,692.44,627.90,939.29,631.85,956.99,911.36,981.92,731.11,753.82,619.25,766.53,807.81,781.05,727.23,594.33,907.67,655.87,906.32,1047.76,932.15,597.73,800.51,1020.91,732.67,0.00,911.10,0.00,0.00,750.37,495.39,637.02,868.82,0.00,825.19,843.09,552.11,697.25,599.81,684.62,903.00,882.15,1208.21,1010.63,949.64,1095.27,875.94,837.87,1138.29,683.40,777.06,732.85,804.29,257.21,731.32,455.12,549.47,0.00,935.64,0.00,733.03
2,24.51,837.83232,151.7329,,,,ION=[M+H]+,,,3592.14,545.53,2901.15,310.88,760.76,1255.79,0.00,0.00,1425.90,0.00,0.00,1354.88,2421.14,2659.50,2526.58,3134.90,1594.29,0.00,0.00,861.21,1153.33,0.00,0.00,1912.75,1694.72,0.00,1181.87,0.00,1870.37,0.00,1149.81,0.00,881.74,1631.57,1354.90,0.00,3065.78,3123.51,2839.37,2184.64,1275.04,0.00,0.00,0.00,0.00,0.00,1099.88,1926.43,741.57,0.00,0.00,0.00,0.00,0.00,1452.53,1251.74,0.00,0.00,0.00,0.00,3592.14,2768.76,3493.28,3004.20,0.00,0.00,0.00,0.00,1793.55,0.00,719.21,0.00,1034.55,1283.14,0.00,0.00,1143.53,0.00
3,24.73,1403.71298,341.20755,,,,ION=[M+H+H]2+,,,12832.73,440.11,10027.13,2442.33,2978.71,0.00,0.00,0.00,2938.16,0.00,0.00,2259.45,11307.93,9949.70,10099.89,9078.61,3500.58,0.00,3910.75,0.00,2556.91,3965.99,3686.84,2802.41,3240.86,0.00,0.00,0.00,0.00,0.00,2851.60,0.00,0.00,3092.71,0.00,0.00,10537.92,9328.63,10169.80,8550.81,4235.65,4101.73,4625.29,0.00,0.00,5003.54,4429.76,4550.01,0.00,0.00,0.00,0.00,0.00,0.00,2585.18,0.00,0.00,0.00,0.00,0.00,12832.73,9971.89,9718.61,8779.04,0.00,4257.21,4676.74,0.00,0.00,5109.65,0.00,0.00,2955.43,0.00,0.00,0.00,0.00,0.00
4,24.75,769.84309,222.34464,,,,ION=[M+H]+,,,7780.58,4229.69,6659.49,4980.08,4601.46,3593.52,4143.56,4838.96,4123.94,4420.16,4596.96,3499.66,6345.24,6801.84,6457.37,5364.90,3840.29,4078.84,6262.48,3965.10,3976.38,5086.49,3933.51,3695.96,4243.67,4026.83,4589.59,3479.90,5107.31,4707.97,3480.85,4516.78,4432.88,4034.40,3793.81,4551.97,6643.01,7780.58,5389.30,6319.25,4652.68,5329.26,5668.28,4300.67,4045.18,5376.82,5249.20,3991.73,3860.94,4493.43,4539.32,3926.31,4857.58,4347.60,4395.93,4065.10,3754.12,4729.76,4138.80,4490.41,6798.03,7474.97,7112.33,7427.07,5123.90,6403.89,5254.00,4881.60,4378.63,5717.59,5746.42,4701.21,3614.00,3344.03,4229.45,3905.18,3904.57,5037.58
5,24.92,1539.68908,354.1943,,,,ION=[M+H+H]2+,,,12586.95,70.11,10799.25,0.00,381.37,0.00,0.00,0.00,0.00,2594.00,0.00,0.00,10981.03,10042.95,9096.35,11432.94,0.00,0.00,0.00,0.00,0.00,4576.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10374.25,11989.18,10316.20,9903.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11268.31,10848.82,12586.95,10750.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,26.03,218.07551,150.91612,,,,ION=[M+H]+,,,8613.04,3484.15,0.00,3932.84,4631.73,0.00,4620.85,4727.48,3510.25,2879.16,5009.60,3933.16,0.00,0.00,0.00,0.00,0.00,4978.60,4187.37,5554.45,4267.76,3045.04,0.00,8613.04,5754.28,4338.63,3847.52,3855.97,4088.22,4257.73,0.00,5199.45,3671.56,4630.43,3745.54,5071.04,0.00,0.00,0.00,0.00,0.00,0.00,5137.79,5321.34,3412.35,3707.28,4635.23,7325.66,4865.91,4113.16,3831.88,3947.84,0.00,2182.25,4790.91,4798.16,3855.31,5069.20,5219.66,3907.84,0.00,0.00,0.00,0.00,4986.93,4551.98,6511.07,5964.52,4494.84,5473.03,0.00,6785.06,5376.27,3967.96,0.00,3667.85,0.00,0.00
7,26.39,527.76520,193.81587,,,,ION=[M+H]+,,,5892.58,2313.04,0.00,1033.59,3071.64,4346.35,0.00,0.00,3741.98,0.00,0.00,5042.85,0.00,0.00,0.00,0.00,4233.50,3430.92,0.00,0.00,3344.17,4008.45,3412.89,2818.67,2192.96,0.00,0.00,4370.55,4701.04,3777.91,5413.56,0.00,4025.89,3942.69,4666.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5397.97,5177.20,0.00,3809.04,2638.59,5892.58,3803.56,0.00,4369.08,5086.22,0.00,0.00,0.00,4293.11,0.00,0.00,0.00,0.00,0.00,0.00,4738.65,0.00,0.00,4414.38,5101.38,4335.77,0.00,0.00,4157.39,0.00,4159.33,0.00
8,26.96,304.23764,181.19524,,,,ION=[M+H]+,,,1561.59,19.81,698.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,602.86,0.00,1339.67,365.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,733.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1068.49,0.00,1561.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,576.36,870.69,1207.00,786.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,27.53,583.63539,201.86903,,,,ION=[M+H]+,,,7779.03,5373.68,0.00,5638.99,4503.46,6388.82,5454.92,0.00,4779.87,6646.95,5248.64,0.00,0.00,0.00,0.00,0.00,4483.01,6456.49,4877.16,4661.95,6298.39,5080.37,6775.86,4115.54,4074.78,4117.11,6396.87,5899.90,4990.14,6275.17,0.00,5389.74,7590.28,4506.93,7779.03,5660.27,0.00,0.00,0.00,0.00,4591.87,4595.01,6753.85,7659.33,4535.40,5273.19,0.00,6430.96,0.00,5840.53,7054.81,6087.25,5956.68,6273.53,5351.48,6048.57,6094.80,5871.51,5868.21,6008.03,0.00,0.00,0.00,0.00,6621.44,5394.93,5209.63,6363.27,5583.54,7034.45,4989.37,5697.12,4569.93,7298.32,4751.27,6121.08,4678.76,5979.46
10,27.84,505.70833,192.33542,,,,ION=[M+H]+,,,12134.30,0.00,7161.91,0.00,387.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7098.04,8309.64,7843.47,6984.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7696.44,9729.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6038.88,12134.30,10636.96,9470.31,0.00,0.00,0.00,0.00,0.00,4652.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
