"FEATURE_ID","RT","PEPMASS","CCS","SIGMA_SCORE","NAME_METABOSCAPE","MOLECULAR_FORMULA","ADDUCT","KEGG","CAS","MaxIntensity","Condition_QC_MeanIntensity","Condition_BLANK_MeanIntensity","Condition_Control_MeanIntensity","Condition_Treatment_MeanIntensity","QC_1_07-Aug-24_10149","QC_1_07-Aug-24_10161","QC_1_07-Aug-24_10173","QC_1_07-Aug-24_10185","QC_1_07-Aug-24_10192","QC_1_08-Aug-24_10204","QC_1_08-Aug-24_10216","B9_PBS_1_08-Aug-24_10218","B9_PBS_2_08-Aug-24_10219","B9_PBS_3_08-Aug-24_10220","B9_PBS_4_08-Aug-24_10221","B9_DMSO_1_08-Aug-24_10223","B9_DMSO_2_08-Aug-24_10224","B9_DMSO_3_08-Aug-24_10225","B9_DMSO_4_08-Aug-24_10226","QC_1_08-Aug-24_10228","B9_Comp_1_08-Aug-24_10235","B9_Comp_2_08-Aug-24_10236","B9_Comp_3_08-Aug-24_10237","B9_Comp_4_08-Aug-24_10238","QC_1_08-Aug-24_10240","QC_1_08-Aug-24_10252","QC_1_08-Aug-24_10266","QC_1_08-Aug-24_10278","QC_1_09-Aug-24_10290","QC_1_09-Aug-24_10302","QC_1_09-Aug-24_10314","QC_1_09-Aug-24_10328","QC_1_09-Aug-24_10335","QC_1_09-Aug-24_10347","QC_1_09-Aug-24_10359","B9_PBS_1_09-Aug-24_10361","B9_PBS_2_09-Aug-24_10362","B9_PBS_3_09-Aug-24_10363","B9_PBS_4_09-Aug-24_10364","B9_DMSO_1_10-Aug-24_10366","B9_DMSO_2_10-Aug-24_10367","B9_DMSO_3_10-Aug-24_10368","B9_DMSO_4_10-Aug-24_10369","QC_1_10-Aug-24_10371","B9_Comp_1_10-Aug-24_10378","B9_Comp_2_10-Aug-24_10379","B9_Comp_3_10-Aug-24_10380","B9_Comp_4_10-Aug-24_10381","QC_1_10-Aug-24_10383","QC_1_10-Aug-24_10395","QC_1_10-Aug-24_10407","QC_1_10-Aug-24_10419","QC_1_10-Aug-24_10431","QC_1_10-Aug-24_10443","QC_1_10-Aug-24_10455","QC_1_11-Aug-24_10467","QC_1_11-Aug-24_10474","QC_1_11-Aug-24_10486","QC_1_11-Aug-24_10498","B9_PBS_1_11-Aug-24_10500","B9_PBS_2_11-Aug-24_10501","B9_PBS_3_11-Aug-24_10502","B9_PBS_4_11-Aug-24_10503","B9_DMSO_1_11-Aug-24_10505","B9_DMSO_2_11-Aug-24_10506","B9_DMSO_3_11-Aug-24_10507","B9_DMSO_4_11-Aug-24_10508","QC_1_11-Aug-24_10510","B9_Comp_1_11-Aug-24_10517","B9_Comp_2_12-Aug-24_10522","B9_Comp_3_12-Aug-24_10523","B9_Comp_4_12-Aug-24_10524","QC_1_12-Aug-24_10526","QC_1_12-Aug-24_10538","QC_1_12-Aug-24_10550","QC_1_12-Aug-24_10562","QC_1_13-Aug-24_10574"
1,13.60,186.01500,132.99799,,,,ION=[M+H]+,,,1138.29,0.00,0.00,742.84,634.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,797.21,695.22,692.44,627.90,0.00,631.85,956.99,911.36,981.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1020.91,732.67,0.00,911.10,0.00,0.00,750.37,495.39,637.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,837.87,1138.29,683.40,777.06,0.00,804.29,257.21,731.32,455.12,0.00,0.00,0.00,0.00,0.00
2,24.51,837.83232,151.7329,,,,ION=[M+H]+,,,1926.43,0.00,0.00,310.88,760.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1594.29,0.00,0.00,861.21,0.00,0.00,0.00,1912.75,1694.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1275.04,0.00,0.00,0.00,0.00,0.00,1099.88,1926.43,741.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,719.21,0.00,1034.55,0.00,0.00,0.00,0.00,0.00
3,24.73,1403.71298,341.20755,,,,ION=[M+H+H]2+,,,5109.65,0.00,0.00,2442.33,2978.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3500.58,0.00,3910.75,0.00,0.00,3965.99,3686.84,2802.41,3240.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4235.65,4101.73,4625.29,0.00,0.00,5003.54,4429.76,4550.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4257.21,4676.74,0.00,0.00,5109.65,0.00,0.00,2955.43,0.00,0.00,0.00,0.00,0.00
4,24.75,769.84309,222.34464,,,,ION=[M+H]+,,,6403.89,0.00,0.00,4980.08,4601.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3840.29,4078.84,6262.48,3965.10,0.00,5086.49,3933.51,3695.96,4243.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4652.68,5329.26,5668.28,4300.67,0.00,5376.82,5249.20,3991.73,3860.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5123.90,6403.89,5254.00,4881.60,0.00,5717.59,5746.42,4701.21,3614.00,0.00,0.00,0.00,0.00,0.00
5,24.92,1539.68908,354.1943,,,,ION=[M+H+H]2+,,,4576.39,0.00,0.00,0.00,381.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4576.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,26.03,218.07551,150.91612,,,,ION=[M+H]+,,,8613.04,0.00,0.00,3932.84,4631.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4978.60,4187.37,5554.45,0.00,3045.04,0.00,8613.04,5754.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5137.79,5321.34,0.00,3707.28,4635.23,7325.66,4865.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4986.93,4551.98,6511.07,5964.52,0.00,5473.03,0.00,6785.06,5376.27,0.00,0.00,0.00,0.00,0.00
7,26.39,527.76520,193.81587,,,,ION=[M+H]+,,,5397.97,0.00,0.00,1033.59,3071.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4233.50,3430.92,0.00,0.00,0.00,4008.45,3412.89,2818.67,2192.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5397.97,5177.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4738.65,0.00,0.00,4414.38,5101.38,4335.77,0.00,0.00,0.00,0.00,0.00,0.00
8,26.96,304.23764,181.19524,,,,ION=[M+H]+,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,27.53,583.63539,201.86903,,,,ION=[M+H]+,,,7659.33,0.00,0.00,5638.99,4503.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4483.01,6456.49,4877.16,4661.95,0.00,5080.37,6775.86,4115.54,4074.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4591.87,4595.01,6753.85,7659.33,0.00,5273.19,0.00,6430.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6621.44,5394.93,5209.63,6363.27,0.00,7034.45,4989.37,5697.12,4569.93,0.00,0.00,0.00,0.00,0.00
10,27.84,505.70833,192.33542,,,,ION=[M+H]+,,,4652.02,0.00,0.00,0.00,387.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4652.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,27.89,573.69581,201.4158,,,,ION=[M+H]+,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,28.14,365.90630,170.56277,,,,ION=[M+H]+,,,3748.40,0.00,0.00,2151.89,2996.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2181.28,1473.58,1911.99,0.00,0.00,2366.43,2354.82,2618.92,3451.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2991.89,3010.84,2046.59,1727.72,0.00,3748.40,3222.15,3724.24,3301.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2182.24,2518.99,2961.28,2816.33,0.00,2516.86,2710.87,2758.14,3189.93,0.00,0.00,0.00,0.00,0.00
13,28.21,361.95205,169.5575,,,,ION=[M+H]+,,,1981.69,0.00,0.00,1206.04,664.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1034.61,0.00,1158.93,1946.96,0.00,880.34,0.00,1127.64,983.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1966.97,0.00,1417.94,1816.93,0.00,961.82,0.00,1320.29,1047.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1981.69,1353.24,1795.26,0.00,0.00,0.00,1657.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,28.26,321.80392,184.45418,,,,ION=[M+H]+,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,28.28,389.79133,172.32396,,,,ION=[M+H]+,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,28.31,1293.11871,333.58832,,,,ION=[M+H+H]2+,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,28.45,797.49664,225.69392,,,,ION=[M+H]+,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,28.46,741.53540,217.96175,,,,ION=[M+H]+,,,4718.33,0.00,0.00,818.02,1233.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2655.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4718.33,0.00,3915.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2681.74,4479.48,0.00,0.00,4076.70,0.00,2087.49,0.00,0.00,0.00,0.00,0.00,0.00
19,28.55,739.53882,219.61145,,,,ION=[M+H]+,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,28.61,402.90288,183.29903,,,,ION=[M+H]+,,,5916.01,0.00,0.00,4472.32,3768.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4778.00,4403.11,3926.09,4630.75,0.00,3403.83,3799.39,3870.81,5629.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4614.20,5057.26,4111.73,4792.79,0.00,4057.84,3182.82,3273.97,3212.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3545.40,3714.78,5916.01,4177.78,0.00,3690.59,3379.94,3322.48,4396.48,0.00,0.00,0.00,0.00,0.00
21,28.65,437.72038,182.06902,,,,ION=[M+H]+,,,11401.33,0.00,0.00,6081.43,8294.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6553.62,9099.83,3540.46,0.00,0.00,9495.87,7818.66,5281.98,7024.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7019.24,9095.02,9282.59,0.00,0.00,10537.73,10112.38,6548.11,6255.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4156.08,8428.05,9984.95,5817.36,0.00,11401.33,8527.15,8223.75,8307.38,0.00,0.00,0.00,0.00,0.00
22,28.79,1028.27767,203.09381,,,,ION=[M+H]+,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
